kata_awal,kata_stemming
jalur,jalur
gaza,gaza
pemerintah,pemerin
indonesia,indonesia
jaminan,jamin
warga,warga
gaza,gaza
dievakuasi,dievakuas
indonesia,indonesia
tanah,tanah
air,air
keperluan,perlu
alasan,alas
evakuasi,evakuasi
selesai,selesai
proses,proses
jaminan,jamin
problema,problema
diplomatik,diplomatik
indonesia,indonesia
hubungan,hubung
diplomatik,diplomatik
israel,israel
indonesia,indonesia
jaminan,jamin
ketiga,tiga
palang,palang
merah,merah
internasional,internasional
icrc,icrc
komisi,komisi
pbb,pbb
urusan,urus
pengungsi,pengungs
unhcr,unhcr
negara,negara
mesir,sir
jordania,jordania
turki,turk
hubungan,hubung
diplomatik,diplomatik
israel,israel
as,as
seandainya,anda
indonesia,indonesia
jaminan,jamin
ketiga,tiga
jaminan,jamin
israel,israel
dipercaya,percaya
kepercayaan,percaya
internasional,internasional
israel,israel
rendah,rendah
kepercayaan,percaya
internasional,internasional
israel,israel
dinodai,noda
aksi,aksi
israel,israel
melanggar,langgar
kesepakatan,sepakat
gencatan,gencat
senjata,senjata
gaza,gaza
dicapai,capa
17,17
januari,januari
2025,2025
israel,israel
menolak,menolak
seruan,seru
masyarakat,masyarakat
internasional,internasional
menghentikan,menghenti
perang,perang
jalur,jalur
gaza,gaza
menolak,menolak
resolusi,resolusi
dk,dk
pbb,pbb
no,no
2728,2728
25,25
maret,maret
2024,2024
menyerukan,menyeru
gencatan,gencat
senjata,senjata
jalur,jalur
gaza,gaza
israel,israel
tampil,tampil
negara,negara
hukum,hukum
muka,muka
bumi,bumi
program,program
pemerintah,pemerin
indonesia,indonesia
mengevakuasi,mengevakuas
warga,warga
gaza,gaza
indonesia,indonesia
risiko,risiko
beralih,beralih
relokasi,relokasi
sesuai,sesuai
proyek,proyek
as,as
israel,israel
tradisi,tradisi
megibung,megibung
bali,bal
kembul,kembul
bujana,bujana
jawa,jawa
simbol,simbol
kebersamaan,kebersama
menggambarkan,menggambar
kehangatan,hangat
interaksi,interaksi
manusia,manusia
aktivitas,aktivitas
sederhana,sederhana
penuh,penuh
makna,makna
tradisi,tradisi
makan,makan
sekedar,sekedar
berbagi,berbag
makanan,makan
memperkuat,memperkuat
hubungan,hubung
individu,individu
menjaga,menjaga
harmoni,harmoni
masyarakat,masyarakat
era,era
modern,modern
tradisi,tradisi
terpinggirkan,terpinggir
terancaman,rancam
kepunahan,punah
sejarah,sejarah
megibung,megibung
diyakini,yakin
karangasem,karangasem
bali,bal
1614,1614
caka,caka
1692,1692
masehi,masehi
tradisi,tradisi
diperkenalkan,diperkenal
raja,raja
karangasem,karangasem
vii,vi
i,i
gusti,gusti
anglurah,anglurah
ketut,ketut
karangasem,karangasem
pemimpin,pemimpin
membawa,membawa
kejayaan,jaya
karangasem,karangasem
abad,abad
18,18
ekspedisinya,ekspedisi
menaklukkan,menakluk
kerajaan,raja
sasak,sasak
lombok,lombok
sang,sang
raja,raja
menciptakan,mencipta
tradisi,tradisi
memimpin,memimpin
prajuritnya,prajurit
cerita,cerita
masyarakat,masyarakat
megibung,megibung
raja,raja
aturan,atur
prajurit,prajurit
makan,makan
wadah,wadah
istirahat,istirahat
perang,perang
tradisi,tradisi
bertujuan,bertuju
mempererat,mempererat
solidaritas,solidaritas
prajurit,prajurit
menanamkan,menanam
kesetaraan,kesetara
membedakan,membeda
status,status
megibung,megibung
terpisahkan,terpisah
budaya,budaya
karangasem,karangasem
upacara,upacara
adat,adat
acara,acara
keluarga,keluarga
megibung,megibung
berasal,berasal
gibung,gibung
berbagi,berbag
tradisi,tradisi
orang,orang
duduk,duduk
melingkar,lingkar
mengelilingi,mengeliling
nasi,nasi
lauk,lauk
pauk,pauk
diletakkan,letak
nampan,nampan
mengambil,mengambil
makanan,makan
bergantian,berganti
tangan,tangan
mencerminkan,mencermin
kesederhanaan,sederhana
kebersamaan,kebersama
aturan,atur
utama,utama
megibung,megibung
mengambil,mengambil
makanan,makan
orang,orang
adil,adil
menghormati,menghormat
serakah,serakah
nilai,nilai
melekat,lekat
erat,erat
tradisi,tradisi
jawa,jawa
tradisi,tradisi
makan,makan
dikenal,kenal
istilah,istilah
kembul,kembul
bujana,bujana
nama,nama
berasal,berasal
kembul,kembul
berkumpul,berkumpul
bujana,bujana
hidangan,hidang
tradisi,tradisi
acara,acara
kenduri,kenduri
selamatan,selamat
perayaan,raya
adat,adat
praktiknya,praktik
makanan,makan
disajikan,saji
daun,daun
pisang,pisang
membentang,membentang
wadah,wadah
hidangan,hidang
meliputi,liput
nasi,nasi
lauk,lauk
pauk,pauk
sayur,sayur
sambal,sambal
khas,khas
daerah,daerah
mencerminkan,mencermin
keberkahan,berkah
hasil,hasil
bumi,bumi
kembul,kembul
bujana,bujana
menikmati,nikmat
makanan,makan
berbagi,berbag
doa,doa
harapan,harap
tradisi,tradisi
memiliki,milik
dimensi,dimensi
spiritual,spiritual
mendalam,mendalam
sejarah,sejarah
kembul,kembul
bujana,bujana
dipercaya,percaya
berasal,berasal
kehidupan,hidup
masyarakat,masyarakat
jawa,jawa
menghargai,mengharga
syukur,syukur
kebersamaan,kebersama
lingkaran,lingkar
makan,makan
orang,orang
dianggap,anggap
setara,tara
memandang,memandang
usia,usia
jabatan,jabat
status,status
sosial,sosial
nilai,nilai
kesederhanaan,sederhana
syukur,syukur
rezeki,rezeki
tuhan,tuhan
inti,inti
utama,utama
tradisi,tradisi
makan,makan
megibung,megibung
kembul,kembul
bujana,bujana
cerminan,cermin
kehidupan,hidup
masyarakat,masyarakat
tradisional,tradisional
mengutamakan,mengutama
kebersamaan,kebersama
kesederhanaan,sederhana
solidaritas,solidaritas
lingkaran,lingkar
makan,makan
perbedaan,perbeda
individu,individu
orang,orang
berbagi,berbag
hidangan,hidang
bercengkerama,bercengkerama
mempererat,mempererat
hubungan,hubung
kekeluargaan,keluarga
komunitas,komunitas
tradisi,tradisi
makan,makan
mengajarkan,mengajar
nilai,nilai
nilai,nilai
menghormati,menghormat
keadilan,adil
berbagi,berbag
kebersyukuran,kebersyukur
nikmat,nikmat
diperoleh,diperoleh
megibung,megibung
aturan,atur
mengambil,mengambil
makanan,makan
menanamkan,menanam
tanggung,tanggung
kembul,kembul
bujana,bujana
mengajarkan,mengajar
kebahagiaan,bahagia
sejati,sejati
kebersamaan,kebersama
kesederhanaan,sederhana
perkembangan,perkembang
zaman,zaman
tradisi,tradisi
megibung,megibung
kembul,kembul
bujana,bujana
menghadapi,menghadap
tantangan,tantang
perubahan,rubah
gaya,gaya
hidup,hidup
modern,modern
cenderung,cenderung
individualis,individualis
salah,salah
penyebab,penyebab
utama,utama
tergerusnya,tergerus
tradisi,tradisi
masyarakat,masyarakat
generasi,generasi
muda,muda
makan,makan
terpisah,terpisah
porsi,porsi
nilai,nilai
kebersamaan,kebersama
diusung,usung
tradisi,tradisi
perlahan,perlahan
memudar,memudar
kekhawatiran,khawatir
aspek,aspek
kebersihan,bersih
higienis,higienis
praktik,praktik
makan,makan
kerap,kerap
alasan,alas
tradisi,tradisi
ditinggalkan,tinggal
nilai,nilai
nilai,nilai
terkandung,terkandung
megibung,megibung
kembul,kembul
bujana,bujana
berharga,berharga
perdebatan,perdebat
metode,metode
penyajiannya,penyaji
wuryan,wury
wuryanati,wuryanat
pemerhati,pemerhat
budaya,budaya
indonesia,indonesia
hilangnya,hilang
tradisi,tradisi
megibung,megibung
kembul,kembul
bujana,bujana
kehilangan,hilang
warisan,waris
budaya,budaya
filosofi,filosofi
mendalam,mendalam
hidup,hidup
kebersamaan,kebersama
harmoni,harmoni
melestarikan,lestari
tradisi,tradisi
megibung,megibung
kembul,kembul
bujana,bujana
langkah,langkah
menjaga,menjaga
identitas,identitas
budaya,budaya
indonesia,indonesia
tradisi,tradisi
simbol,simbol
kekayaan,kaya
budaya,budaya
alat,alat
memperkuat,memperkuat
hubungan,hubung
sosial,sosial
komunitas,komunitas
megibung,megibung
kembul,kembul
bujana,bujana
tradisi,tradisi
makan,makan
simbol,simbol
mendalam,mendalam
makanan,makan
menyatukan,menyatu
orang,orang
orang,orang
menciptakan,mencipta
hubungan,hubung
kuat,kuat
melahirkan,lahir
syukur,syukur
keberkahan,berkah
hidup,hidup
tergerus,tergerus
tradisi,tradisi
ditemukan,temu
komunitas,komunitas
delanggu,delanggu
jawa,jawa
anak,anak
anak,anak
muda,muda
terkadang,terkadang
melakukannya,laku
kegiatan,giat
syukuran,syukur
tantangan,tantang
modernisasi,modernisasi
aktivitas,aktivitas
sederhana,sederhana
apresiasi,apresiasi
nilai,nilai
nilai,nilai
kebersamaan,kebersama
pudar,pudar
mari,mari
lingkaran,lingkar
menghidupkan,menghidup
semangat,semangat
megibung,megibung
kembul,kembul
bujana,bujana
kehidupan,hidup
sehari,sehar
tradisi,tradisi
mengajarkan,mengajar
kebahagiaan,bahagia
sejati,sejati
terletak,terletak
kebersamaan,kebersama
syukur,syukur
orang,orang
webinar,webinar
hut,hut
abkin,abkin
49,49
ii,i
pd,pd
abkin,abkin
jawa,jawa
ii,i
08,08
februari,februari
2025,2025
membahas,membahas
peran,peran
strategis,strategis
bimbingan,bimbing
konseling,konseling
penguatan,penguat
karakter,karakter
siswa,siswa
prof,prof
dr,dr
nunuk,nunuk
suryani,suryani
m,m
pd,pd
menarik,menarik
dibahas,bahas
materi,materi
beliau,beliau
mengerti,mengert
tantangan,tantang
dihadapi,hadap
guru,guru
bimbingan,bimbing
konseling,konseling
strategi,strategi
menghadapi,menghadap
sistem,sistem
pendidikan,pendidi
indonesia,indonesia
bk,bk
memiliki,milik
peran,peran
pendidikan,pendidi
karakter,karakter
peserta,serta
didik,didik
layanan,layan
bk,bk
menjadikan,menjadi
karakter,karakter
siswa,siswa
mengadakan,mengada
kegiatan,giat
berguna,berguna
peserta,serta
didik,didik
mengadakan,mengada
ekstrakurikuler,ekstrakurikuler
kegiatan,giat
konseling,konseling
bimbingan,bimbing
memahami,memaham
nilai,nilai
moral,moral
pendidikan,pendidi
karakter,karakter
salah,salah
fokus,fokus
utama,utama
sistem,sistem
pendidikan,pendidi
indonesia,indonesia
seiring,iring
upaya,upaya
pemerintah,pemerin
menciptakan,mencipta
generasi,generasi
cerdas,cerdas
akademis,akademis
memiliki,milik
integritas,integritas
etika,etika
nilai,nilai
nilai,nilai
moral,moral
kuat,kuat
era,era
globalisasi,globalisasi
penuh,penuh
tantangan,tantang
perubahan,rubah
siswa,siswa
memiliki,milik
landasan,landas
karakter,karakter
kokoh,kokoh
menghadapi,menghadap
situasi,situasi
permasalahan,permasalah
kompleks,kompleks
pendidikan,pendidi
karakter,karakter
berfokus,berfokus
penguasaan,penguasa
pengetahuan,pengetahu
pembentukan,pembentu
sikap,sikap
perilaku,perilaku
positif,positif
bimbingan,bimbing
konseling,konseling
memiliki,milik
peran,peran
layanan,layan
bimbingan,bimbing
konseling,konseling
membantu,membantu
siswa,siswa
mengatasi,mengatas
akademis,akademis
berfungsi,berfungs
sarana,sarana
mengembangkan,mengembang
karakter,karakter
proses,proses
bimbingan,bimbing
siswa,siswa
dibimbing,bimbing
memahami,memaham
nilai,nilai
nilai,nilai
moral,moral
sosial,sosial
spiritual,spiritual
membentuk,membentuk
kepribadian,pribadi
konselor,konselor
berperan,berper
pendamping,pendamping
membantu,membantu
siswa,siswa
mengenali,mengenal
potensi,potensi
mengatasi,mengatas
tantangan,tantang
mengembangkan,mengembang
keterampilan,terampil
sosial,sosial
berinteraksi,berinteraks
lingkungan,lingkung
webinar,webinar
prof,prof
dr,dr
nunuk,nunuk
suryani,suryani
m,m
pd,pd
guru,guru
bk,bk
tercapai,tercapa
pendidikan,pendidi
karakter,karakter
tantangan,tantang
dihadapi,hadap
guru,guru
pemerintah,pemerin
pendidikan,pendidi
indonesia,indonesia
menghadapi,menghadap
tantangan,tantang
kompleks,kompleks
beragam,ragam
kualitas,kualitas
pendidikan,pendidi
indonesia,indonesia
membanggakan,membangga
skor,skor
2022,2022
angka,angka
368,368
99,99
tertinggal,tertinggal
477,477
63,63
salah,salah
tantangan,tantang
utama,utama
rendahnya,rendah
kualitas,kualitas
pendidikan,pendidi
dirasakan,rasa
daerah,daerah
wilayah,wilayah
terpencil,terpencil
berdampak,berdampak
ketidakmerataan,ketidakmerata
akses,akses
kesempatan,sempat
belajar,belajar
siswa,siswa
disisi,sis
kualitas,kualitas
distribusi,distribusi
guru,guru
terbatas,terbatas
juni,juni
2024,2024
50,50
guru,guru
bersertifikat,bersertifikat
pendidikan,pendidi
kekurangan,kurang
679,679
guru,guru
2024,2024
kesehatan,sehat
mental,mental
kalangan,kalang
siswa,siswa
perhatian,perhati
data,data
siswa,siswa
mengalami,mengalam
psikologis,psikologis
kecemasan,cemas
depresi,depresi
mempengaruhi,mempengaruh
perkembangan,perkembang
akademis,akademis
sosial,sosial
fenomena,fenomena
bullying,bullying
sekolah,sekolah
isu,isu
serius,serius
ditangani,tangan
merusak,rusak
kepercayaan,percaya
kesehatan,sehat
mental,mental
siswa,siswa
memperkuat,memperkuat
peran,peran
guru,guru
bimbingan,bimbing
konseling,konseling
menangani,menangan
isu,isu
isu,isu
menciptakan,mencipta
lingkungan,lingkung
belajar,belajar
aman,aman
mendukung,mendukung
kebijakan,kebija
pemerintah,pemerin
menanggapi,menanggap
tantangan,tantang
kementerian,menteri
pendidikan,pendidi
dasar,dasar
menengah,menengah
kemendikdasmen,kemendikdasmen
mengeluarkan,mengeluar
kebijakan,kebija
memperkuat,memperkuat
pendidikan,pendidi
karakter,karakter
indonesia,indonesia
salah,salah
langkah,langkah
strategis,strategis
penguatan,penguat
peran,peran
guru,guru
bimbingan,bimbing
konseling,konseling
mentor,mentor
pendamping,pendamping
siswa,siswa
kebijakan,kebija
guru,guru
bimbingan,bimbing
konseling,konseling
berfungsi,berfungs
pengawas,pengawas
pembimbing,pembimbing
aktif,aktif
membantu,membantu
siswa,siswa
mengatasi,mengatas
hadapi,hadap
lingkungan,lingkung
sekolah,sekolah
diharapkan,harap
berkontribusi,berkontribus
signifikan,signifikan
pengembangan,pengembang
karakter,karakter
kesejahteraan,sejahtera
siswa,siswa
peran,peran
guru,guru
bimbingan,bimbing
konseling,konseling
guru,guru
bk,bk
berperan,berper
membentuk,membentuk
sdm,sdm
mandiri,mandiri
berkarakter,berkarakter
guru,guru
bk,bk
konseling,konseling
berfokus,berfokus
nilai,nilai
nilai,nilai
disiplin,disiplin
tanggung,tanggung
kerja,kerja
keras,keras
etika,etika
guru,guru
bk,bk
mengembangkan,mengembang
keterampilan,terampil
komunikasi,komunikasi
manajemen,manajemen
konflik,konflik
kerja,kerja
tim,tim
guru,guru
bk,bk
mendukung,mendukung
kesehatan,sehat
mental,mental
kesehatan,sehat
psikologis,psikologis
siswa,siswa
mendeteksi,mendeteks
permasalahan,permasalah
psikologis,psikologis
pendampingan,pendamping
layanan,layan
bk,bk
peserta,serta
didik,didik
tenang,tenang
nyaman,nyaman
belajar,belajar
percaya,percaya
menghadapi,menghadap
tantangan,tantang
sosial,sosial
akademik,akademik
guru,guru
bk,bk
mengarahkan,mengarah
minat,minat
bakat,bakat
guru,guru
bk,bk
diharapkan,harap
menciptakan,mencipta
sekolah,sekolah
nyaman,nyaman
aman,aman
guru,guru
bk,bk
harapkan,harap
mengurangi,mengurang
perilaku,perilaku
bullying,bullying
lingkungan,lingkung
sekolah,sekolah
perilaku,perilaku
bullying,bullying
anak,anak
laki,laki
laki,laki
anak,anak
perempuan,perempuan
pembully,pembully
guru,guru
bk,bk
diharapkan,harap
mengadakan,mengada
konseling,konseling
bimbingan,bimbing
kelompok,kelompok
anak,anak
anak,anak
perundungan,rundung
siswa,siswa
data,data
kpai,kpa
penurunan,penurun
tingkat,tingkat
kekerasan,keras
siswa,siswa
disebabkan,sebab
preventif,preventif
penurunan,penurun
laporan,lapor
data,data
simfoni,simfoni
ppa,ppa
menunjukan,menunju
tren,tren
meningkat,meningkat
disebabkan,sebab
laporan,lapor
meningkat,meningkat
tim,tim
pencegahan,pencegah
penanganan,penangan
kekerasan,keras
ekosistem,ekosistem
satuan,satu
pendidikan,pendidi
satuan,satu
tugas,tugas
4,4
februari,februari
2025,2025
93,93
99,99
406,406
617,617
satuan,satu
pendidikan,pendidi
indonesia,indonesia
membentuk,membentuk
tppk,tppk
kolaborasi,kolaborasi
orang,orang
tua,tua
masyarakat,masyarakat
melibatkan,libat
orang,orang
tua,tua
komunitas,komunitas
guru,guru
bimbingan,bimbing
konseling,konseling
menciptakan,mencipta
lingkungan,lingkung
mendukung,mendukung
perkembangan,perkembang
karakter,karakter
siswa,siswa
aman,aman
dihargai,harga
tanggal,tanggal
dipilih,pilih
penghormatan,penghormat
sastrawan,sastraw
william,william
shakespeare,shakespeare
miguel,miguel
de,de
cervantes,cervantes
wafat,wafat
berbeda,berbeda
usulnya,usul
tradisi,tradisi
toko,toko
buku,buku
catalonia,catalonia
spanyol,spanyol
1923,1923
menghormati,menghormat
karya,karya
cervantes,cervantes
diadopsi,diadops
global,global
buku,buku
hak,hak
cipta,cipta
sedunia,dunia
mendorong,mendorong
budaya,budaya
membaca,membaca
penerbitan,penerbit
perlindungan,perlindung
hak,hak
cipta,cipta
momen,momen
reflektif,reflektif
menakar,menakar
ulang,ulang
manusia,manusia
modern,modern
menjadikan,menjadi
buku,buku
cermin,cermin
zaman,zaman
jendela,jendela
dunia,dunia
lanskap,lanskap
digital,digital
hiruk,hiruk
pikuk,pikuk
muncul,muncul
paradoks,paradoks
pengetahuan,pengetahu
diakses,akses
genggaman,genggam
masyarakat,masyarakat
dunia,dunia
melabuhkan,labuh
keheningan,hening
buku,buku
fisik,fisik
kebangkitan,bangkit
buku,buku
fisik,fisik
era,era
digital,digital
amerika,amerika
serikat,serikat
inggris,inggris
jerman,jerm
jepang,jepang
penjualan,penjual
buku,buku
cetak,cetak
meningkat,meningkat
survei,survei
pew,pew
research,research
center,center
2022,2022
65,65
pembaca,pembaca
muda,muda
gen,gen
z,z
memilih,memilih
buku,buku
fisik,fisik
alasan,alas
sensorik,sensorik
bau,bau
kertas,kertas
tekstur,tekstur
halaman,halaman
ketiadaan,tiada
kelelahan,lelah
mata,mata
fenomena,fenomena
teori,teori
embodied,embodied
cognition,cognition
lakoff,lakoff
johnson,johnson
1999,1999
pengalaman,pengalam
fisik,fisik
memengaruhi,memengaruh
pemrosesan,pemroses
kognitif,kognitif
membaca,membaca
buku,buku
fisik,fisik
dianggap,anggap
menghadirkan,menghadir
makna,makna
dibandingkan,banding
layar,layar
digital,digital
cenderung,cenderung
dangkal,dangkal
shallow,shallow
reading,reading
derasnya,deras
arus,arus
digitalisasi,digitalisasi
swedia,swedia
mengadopsi,mengadops
kebijakan,kebija
buku,buku
fisik,fisik
15,15
buku,buku
digital,digital
pendidikan,pendidi
pemerintah,pemerin
swedia,swedia
menemukan,menemu
digitalisasi,digitalisasi
masif,masif
menurunkan,menurun
tingkat,tingkat
literasi,literas
pemahaman,pemaham
membaca,membaca
daya,daya
konsentrasi,konsentrasi
siswa,siswa
fenomena,fenomena
didukung,dukung
survei,survei
indonesia,indonesia
masyarakat,masyarakat
memilih,memilih
buku,buku
fisik,fisik
dibandingkan,banding
e,e
book,book
buku,buku
fisik,fisik
nilai,nilai
kenyamanan,nyaman
membaca,membaca
kepuasan,puas
psikologis,psikologis
aspek,aspek
koleksi,koleksi
dimiliki,milik
buku,buku
digital,digital
kecenderungan,cenderung
dianalisis,analisis
pendekatan,pendekat
teoritik,teoritik
hermeneutika,hermeneutika
psikologi,psikologi
kognitif,kognitif
membahas,membahas
interaksi,interaksi
fisik,fisik
objek,objek
bacaan,baca
meningkatkan,meningkat
pemahaman,pemaham
retensi,retensi
informasi,informasi
studi,studi
mizrachi,mizrach
salaz,salaz
2019,2019
membaca,membaca
buku,buku
cetak,cetak
efektif,efektif
pembelajaran,pembelajar
akademik,akademik
memudahkan,mudah
penandaan,penanda
konsentrasi,konsentrasi
e,e
book,book
cocok,cocok
bacaan,baca
ringan,ringan
medium,medium
membaca,membaca
aksesibilitas,aksesibilitas
kualitas,kualitas
pengalaman,pengalam
efektivitas,efektivitas
kognitif,kognitif
literasi,literas
indonesia,indonesia
terjebak,terjebak
pusaran,pusar
rendahnya,rendah
minat,minat
baca,baca
indonesia,indonesia
pasar,pasar
buku,buku
digital,digital
tumbuh,tumbuh
minat,minat
buku,buku
cetak,cetak
bertahan,bertah
kalangan,kalang
akademisi,akademisi
pecinta,cinta
sastra,sastra
studi,studi
perpustakaan,perpustaka
nasional,nasional
2023,2023
menemukan,menemu
72,72
mahasiswa,mahasiswa
mudah,mudah
berkonsentrasi,berkonsentras
membaca,membaca
buku,buku
fisik,fisik
ironisnya,ironis
tingkat,tingkat
literasi,literas
indonesia,indonesia
rendah,rendah
berdasarkan,berdasar
survei,survei
pisa,pisa
2022,2022
indonesia,indonesia
peringkat,peringkat
62,62
79,79
negara,negara
kemampuan,mampu
membaca,membaca
data,data
unesco,unesco
institute,institute
for,for
statistics,statistics
uis,uis
indonesia,indonesia
menempati,menempat
peringkat,peringkat
100,100
208,208
negara,negara
tingkat,tingkat
literasi,literas
95,95
44,44
kalah,kalah
negara,negara
negara,negara
tetangga,tetangga
asia,asia
tenggara,tenggara
filipina,filipina
brunei,brune
singapura,singapura
rendahnya,rendah
literasi,literas
disebabkan,sebab
faktor,faktor
utama,utama
kurangnya,kurang
minat,minat
membaca,membaca
keterbatasan,keterbatas
sarana,sarana
prasarana,prasarana
peran,peran
keluarga,keluarga
minim,minim
mendukung,mendukung
aktivitas,aktivitas
membaca,membaca
pengaruh,pengaruh
negatif,negatif
televisi,televisi
ponsel,ponsel
pintar,pintar
menarik,menarik
perhatian,perhati
anak,anak
anak,anak
remaja,remaja
dibandingkan,banding
buku,buku
penelitian,peneliti
rendahnya,rendah
literasi,literas
indonesia,indonesia
bersifat,bersifat
multidimensi,multidimensi
akses,akses
buku,buku
timpang,timpang
daerah,daerah
pedesaan,desa
kesulitan,sulit
memperoleh,memperoleh
bahan,bahan
bacaan,baca
berkualitas,berkualitas
kemdikbud,kemdikbud
2023,2023
budaya,budaya
lisan,lisan
dominan,dominan
tradisi,tradisi
baca,baca
mengakar,mengakar
nugroho,nugroho
2021,2021
teori,teori
social,social
practice,practice
approach,approach
street,street
1984,1984
literasi,literas
kemampuan,mampu
teknis,teknis
praktik,praktik
sosial,sosial
dipengaruhi,pengaruh
lingkungan,lingkung
indonesia,indonesia
minimnya,minim
perpustakaan,perpustaka
ramah,ramah
anak,anak
mahalnya,mahal
harga,harga
buku,buku
memperparah,memperparah
kondisi,kondisi
pendekatan,pendekat
teoritis,teoritis
kajian,kaji
literasi,literas
indonesia,indonesia
diangkat,angkat
jurnal,jurnal
jurnal,jurnal
ilmiah,ilmiah
nasional,nasional
menekankan,menekan
ekosistem,ekosistem
literasi,literas
meliputi,liput
keluarga,keluarga
sekolah,sekolah
masyarakat,masyarakat
teori,teori
ekologi,ekologi
bronfenbrenner,bronfenbrenner
diadaptasi,diadaptas
konteks,konteks
literasi,literas
menyoroti,menyorot
interaksi,interaksi
individu,individu
lingkungan,lingkung
mikro,mikro
keluarga,keluarga
sekolah,sekolah
menentukan,menentu
minat,minat
kemampuan,mampu
membaca,membaca
program,program
program,program
merdeka,merdeka
belajar,belajar
mengintegrasikan,mengintegrasi
teknologi,teknologi
digital,digital
pendidikan,pendidi
diimbangi,imbang
penguatan,penguat
budaya,budaya
literasi,literas
berbasis,berbasis
buku,buku
fisik,fisik
kehilangan,hilang
esensi,esensi
pembelajaran,pembelajar
mendalam,mendalam
kabar,kabar
kegemaran,gemar
membaca,membaca
indonesia,indonesia
tren,tren
positif,positif
indeks,indeks
pembangunan,pembangun
literasi,literas
masyarakat,masyarakat
iplm,iplm
tingkat,tingkat
gemar,gemar
membaca,membaca
tgm,tgm
mengalami,mengalam
peningkatan,peningkat
2024,2024
kategori,kategori
hasil,hasil
kerja,kerja
keras,keras
perpustakaan,perpustaka
nasional,nasional
pemerintah,pemerin
daerah,daerah
berupaya,berupaya
memperluas,memperluas
akses,akses
buku,buku
meningkatkan,meningkat
kualitas,kualitas
pendidikan,pendidi
literasi,literas
buku,buku
sedunia,dunia
seremoni,seremoni
pengingat,pengingat
buku,buku
fisik,fisik
digital,digital
jendela,jendela
dunia,dunia
lekang,lekang
derasnya,deras
arus,arus
digital,digital
buku,buku
fisik,fisik
kemunduran,mundur
renungan,renung
hakikat,hakikat
membaca,membaca
menyentuh,menyentuh
hati,hati
pikiran,pikir
utuh,utuh
indonesia,indonesia
tantangannya,tantang
membalik,membalik
halaman,halaman
sejarah,sejarah
literasi,literas
cerah,cerah
buku,buku
berperan,berper
jembatan,jembatan
pengetahuan,pengetahu
peradaban,peradab
perubahan,rubah
iklim,iklim
bencana,bencana
alam,alam
barangkali,barangkali
membuatmu,membuat
cemas,cemas
takut,takut
khawatir,khawatir
perasaan,rasa
muncul,muncul
wajar,wajar
menandakan,menanda
memiliki,milik
kepedulian,peduli
lingkungan,lingkung
level,level
stres,stres
pesimis,pesimis
depanmu,depan
bumi,bumi
tandanya,tanda
mengalami,mengalam
eco,eco
anxiety,anxiety
cemas,cemas
situasi,situasi
lingkungan,lingkung
menerus,menerus
berdampak,berdampak
buruk,buruk
kesehatan,sehat
studi,studi
gejala,gejala
eco,eco
anxiety,anxiety
berdaya,berdaya
frustasi,frustas
perasaan,rasa
putus,putus
asa,asa
keresahan,resah
memicu,memicu
serangan,serang
panik,panik
panic,panic
attack,attack
gangguan,ganggu
konsentrasi,konsentrasi
gangguan,ganggu
tidur,tidur
studi,studi
menyebut,menyebut
gen,gen
z,z
kelompok,kelompok
mengalami,mengalam
eco,eco
anxiety,anxiety
studi,studi
menyebut,menyebut
peningkatan,peningkat
kecemasan,cemas
anak,anak
muda,muda
terkait,terkait
krisis,krisis
iklim,iklim
memengaruhi,memengaruh
kesehatan,sehat
mental,mental
eco,eco
anxiety,anxiety
berlarut,berlarut
larut,larut
lakukan,laku
mengalihkan,mengalih
energimu,energi
pengembangan,pengembang
kontrol,kontrol
keterlibatan,keterlibat
sosial,sosial
aksi,aksi
lingkungan,lingkung
langkah,langkah
langkah,langkah
ambil,ambil
1,1
batasi,batas
paparan,papar
informasi,informasi
negatif,negatif
salah,salah
penyebab,penyebab
eco,eco
anxiety,anxiety
mengonsumsi,mengonsums
berita,berita
berisi,beris
kabar,kabar
buruk,buruk
pesimistis,pesimistis
mengimbangi,mengimbang
konten,konten
konten,konten
ikuti,ikut
media,media
sosial,sosial
mengikuti,mengikut
akun,akun
akun,akun
membahas,membahas
permasalahan,permasalah
lingkungan,lingkung
mengikuti,mengikut
akun,akun
akun,akun
berisi,beris
konten,konten
positif,positif
aksi,aksi
aksi,aksi
lingkungan,lingkung
cemas,cemas
muncul,muncul
mengendalikan,mengendali
situasi,situasi
buruk,buruk
mengikuti,mengikut
akun,akun
akun,akun
menawarkan,menawar
solusi,solusi
lingkungan,lingkung
optimisme,optimisme
muncul,muncul
bukti,bukti
diubah,ubah
aksi,aksi
nyata,nyata
2,2
bergabung,bergabung
komunitas,komunitas
cari,cari
komunitas,komunitas
organisasi,organisasi
fokus,fokus
pelestarian,lestari
lingkungan,lingkung
bergabung,bergabung
komunitas,komunitas
memiliki,milik
tujuan,tuju
concern,concern
dukungan,dukung
emosional,emosional
memperkuat,memperkuat
keterhubungan,keterhubung
3,3
terlibat,terlibat
aksi,aksi
lingkungan,lingkung
langkah,langkah
lakukan,laku
berpartisipasi,berpartisipas
aksi,aksi
lingkungan,lingkung
skala,skala
studi,studi
membuktikan,membukti
partisipasi,partisipasi
membangun,membangun
keyakinan,yakin
kelompok,kelompok
mengatasi,mengatas
krisis,krisis
lingkungan,lingkung
self,self
and,and
community,community
efficacy,efficacy
level,level
