kata_awal,kata_stemming,kata_dasar_terdeteksi
politik,politik,itik
timur,timur,mu
agenda,agenda,agen
relokasi,relokasi,asi
warga,warga,warga
gaza,gaza,gaz
diusung,usung,sun
as,as,as
israel,israel,isra
agenda,agenda,agen
penolakan,penola,nol
relokasi,relokasi,asi
warga,warga,warga
gaza,gaza,gaz
diadopsi,diadops,dia
liga,liga,iga
arab,arab,ara
pemerintah,pemerin,meri
indonesia,indonesia,don
tulus,tulus,lus
bersedia,bersedia,dia
menerima,menerima,rim
evakuasi,evakuasi,aku
warga,warga,warga
gaza,gaza,gaz
indonesia,indonesia,don
waspada,waspada,ada
pertarungan,pertarung,aru
agenda,agenda,agen
timur,timur,mu
waspada,waspada,ada
dicemaskan,cemas,cema
program,program,gram
evakuasi,evakuasi,aku
diusung,usung,sun
pemerintah,pemerin,meri
indonesia,indonesia,don
terperangkap,terperangkap,angka
program,program,gram
relokasi,relokasi,asi
as,as,as
israel,israel,isra
menghalangi,menghalang,ala
halangi,halang,ala
warga,warga,warga
gaza,gaza,gaz
jalur,jalur,alu
gaza,gaza,gaz
tanah,tanah,ana
air,air,air
jaminan,jamin,ami
pemerintah,pemerin,meri
indonesia,indonesia,don
mengevakuasi,mengevakuas,aku
warga,warga,warga
gaza,gaza,gaz
indonesia,indonesia,don
alasan,alas,ala
pengobatan,pengobat,gob
jalur,jalur,alu
gaza,gaza,gaz
pemerintah,pemerin,meri
indonesia,indonesia,don
jaminan,jamin,ami
warga,warga,warga
gaza,gaza,gaz
dievakuasi,dievakuas,aku
indonesia,indonesia,don
tanah,tanah,ana
air,air,air
keperluan,perlu,per
alasan,alas,ala
evakuasi,evakuasi,aku
selesai,selesai,es
proses,proses,es
jaminan,jamin,ami
problema,problema,lem
diplomatik,diplomatik,ati
indonesia,indonesia,don
hubungan,hubung,bun
diplomatik,diplomatik,ati
israel,israel,isra
indonesia,indonesia,don
jaminan,jamin,ami
ketiga,tiga,iga
palang,palang,ala
merah,merah,era
internasional,internasional,asi
icrc,icrc,icrc
komisi,komisi,isi
pbb,pbb,pbb
urusan,urus,urus
pengungsi,pengungs,gun
unhcr,unhcr,unhcr
negara,negara,ara
mesir,sir,sir
jordania,jordania,ani
turki,turk,tur
hubungan,hubung,bun
diplomatik,diplomatik,ati
israel,israel,isra
as,as,as
seandainya,anda,anda
indonesia,indonesia,don
jaminan,jamin,ami
ketiga,tiga,iga
jaminan,jamin,ami
israel,israel,isra
dipercaya,percaya,per
kepercayaan,percaya,per
internasional,internasional,asi
israel,israel,isra
rendah,rendah,dah
kepercayaan,percaya,per
internasional,internasional,asi
israel,israel,isra
dinodai,noda,noda
aksi,aksi,aksi
israel,israel,isra
melanggar,langgar,angga
kesepakatan,sepakat,epak
gencatan,gencat,cat
senjata,senjata,sen
gaza,gaza,gaz
dicapai,capa,apa
17,17,17
januari,januari,anu
2025,2025,2025
israel,israel,isra
menolak,menolak,lak
seruan,seru,eru
masyarakat,masyarakat,ara
internasional,internasional,asi
menghentikan,menghenti,henti
perang,perang,era
jalur,jalur,alu
gaza,gaza,gaz
menolak,menolak,lak
resolusi,resolusi,es
dk,dk,dk
pbb,pbb,pbb
no,no,no
2728,2728,2728
25,25,25
maret,maret,are
2024,2024,2024
menyerukan,menyeru,eru
gencatan,gencat,cat
senjata,senjata,sen
jalur,jalur,alu
gaza,gaza,gaz
israel,israel,isra
tampil,tampil,pil
negara,negara,ara
hukum,hukum,hukum
muka,muka,mu
bumi,bumi,bum
program,program,gram
pemerintah,pemerin,meri
indonesia,indonesia,don
mengevakuasi,mengevakuas,aku
warga,warga,warga
gaza,gaza,gaz
indonesia,indonesia,don
risiko,risiko,isi
beralih,beralih,ali
relokasi,relokasi,asi
sesuai,sesuai,es
proyek,proyek,oyek
as,as,as
israel,israel,isra
tradisi,tradisi,adi
megibung,megibung,bun
bali,bal,bal
kembul,kembul,kembu
bujana,bujana,ana
jawa,jawa,awa
simbol,simbol,bol
kebersamaan,kebersama,ama
menggambarkan,menggambar,ambar
kehangatan,hangat,hang
interaksi,interaksi,aksi
manusia,manusia,anu
aktivitas,aktivitas,aktivitas
sederhana,sederhana,ana
penuh,penuh,pen
makna,makna,makna
tradisi,tradisi,adi
makan,makan,akan
sekedar,sekedar,dar
berbagi,berbag,berbag
makanan,makan,akan
memperkuat,memperkuat,emper
hubungan,hubung,bun
individu,individu,idu
menjaga,menjaga,aga
harmoni,harmoni,harmoni
masyarakat,masyarakat,ara
era,era,era
modern,modern,mode
tradisi,tradisi,adi
terpinggirkan,terpinggir,gir
terancaman,rancam,anca
kepunahan,punah,pun
sejarah,sejarah,ara
megibung,megibung,bun
diyakini,yakin,aki
karangasem,karangasem,ara
bali,bal,bal
1614,1614,1614
caka,caka,cak
1692,1692,1692
masehi,masehi,mas
tradisi,tradisi,adi
diperkenalkan,diperkenal,ken
raja,raja,aja
karangasem,karangasem,ara
vii,vi,vi
i,i,i
gusti,gusti,gus
anglurah,anglurah,lurah
ketut,ketut,ketu
karangasem,karangasem,ara
pemimpin,pemimpin,impi
membawa,membawa,awa
kejayaan,jaya,jaya
karangasem,karangasem,ara
abad,abad,aba
18,18,18
ekspedisinya,ekspedisi,edisi
menaklukkan,menakluk,enak
kerajaan,raja,aja
sasak,sasak,asa
lombok,lombok,lombok
sang,sang,sang
raja,raja,aja
menciptakan,mencipta,cip
tradisi,tradisi,adi
memimpin,memimpin,impi
prajuritnya,prajurit,aju
cerita,cerita,ceri
masyarakat,masyarakat,ara
megibung,megibung,bun
raja,raja,aja
aturan,atur,atur
prajurit,prajurit,aju
makan,makan,akan
wadah,wadah,ada
istirahat,istirahat,ira
perang,perang,era
tradisi,tradisi,adi
bertujuan,bertuju,tuju
mempererat,mempererat,emper
solidaritas,solidaritas,ari
prajurit,prajurit,aju
menanamkan,menanam,ana
kesetaraan,kesetara,ara
membedakan,membeda,beda
status,status,atus
megibung,megibung,bun
terpisahkan,terpisah,isa
budaya,budaya,budaya
karangasem,karangasem,ara
upacara,upacara,acar
adat,adat,ada
acara,acara,acar
keluarga,keluarga,elu
megibung,megibung,bun
berasal,berasal,asa
gibung,gibung,bun
berbagi,berbag,berbag
tradisi,tradisi,adi
orang,orang,orang
duduk,duduk,duduk
melingkar,lingkar,ingkar
mengelilingi,mengeliling,gel
nasi,nasi,asi
lauk,lauk,auk
pauk,pauk,auk
diletakkan,letak,eta
nampan,nampan,nampan
mengambil,mengambil,ambi
makanan,makan,akan
bergantian,berganti,anti
tangan,tangan,angan
mencerminkan,mencermin,cermin
kesederhanaan,sederhana,ana
kebersamaan,kebersama,ama
aturan,atur,atur
utama,utama,ama
megibung,megibung,bun
mengambil,mengambil,ambi
makanan,makan,akan
orang,orang,orang
adil,adil,adi
menghormati,menghormat,hormat
serakah,serakah,era
nilai,nilai,ilai
melekat,lekat,leka
erat,erat,era
tradisi,tradisi,adi
jawa,jawa,awa
tradisi,tradisi,adi
makan,makan,akan
dikenal,kenal,ken
istilah,istilah,ilah
kembul,kembul,kembu
bujana,bujana,ana
nama,nama,ama
berasal,berasal,asa
kembul,kembul,kembu
berkumpul,berkumpul,kumpul
bujana,bujana,ana
hidangan,hidang,dan
tradisi,tradisi,adi
acara,acara,acar
kenduri,kenduri,dur
selamatan,selamat,ama
perayaan,raya,raya
adat,adat,ada
praktiknya,praktik,praktik
makanan,makan,akan
disajikan,saji,aji
daun,daun,daun
pisang,pisang,isa
membentang,membentang,benta
wadah,wadah,ada
hidangan,hidang,dan
meliputi,liput,lipu
nasi,nasi,asi
lauk,lauk,auk
pauk,pauk,auk
sayur,sayur,ayu
sambal,sambal,ambal
khas,khas,has
daerah,daerah,daerah
mencerminkan,mencermin,cermin
keberkahan,berkah,berkah
hasil,hasil,asi
bumi,bumi,bum
kembul,kembul,kembu
bujana,bujana,ana
menikmati,nikmat,mat
makanan,makan,akan
berbagi,berbag,berbag
doa,doa,doa
harapan,harap,ara
tradisi,tradisi,adi
memiliki,milik,ili
dimensi,dimensi,dim
spiritual,spiritual,iri
mendalam,mendalam,ala
sejarah,sejarah,ara
kembul,kembul,kembu
bujana,bujana,ana
dipercaya,percaya,per
berasal,berasal,asa
kehidupan,hidup,dup
masyarakat,masyarakat,ara
jawa,jawa,awa
menghargai,mengharga,harga
syukur,syukur,kur
kebersamaan,kebersama,ama
lingkaran,lingkar,ingkar
makan,makan,akan
orang,orang,orang
dianggap,anggap,angga
setara,tara,ara
memandang,memandang,anda
usia,usia,sia
jabatan,jabat,aba
status,status,atus
sosial,sosial,sia
nilai,nilai,ilai
kesederhanaan,sederhana,ana
syukur,syukur,kur
rezeki,rezeki,rezeki
tuhan,tuhan,tuhan
inti,inti,inti
utama,utama,ama
tradisi,tradisi,adi
makan,makan,akan
megibung,megibung,bun
kembul,kembul,kembu
bujana,bujana,ana
cerminan,cermin,cermin
kehidupan,hidup,dup
masyarakat,masyarakat,ara
tradisional,tradisional,adi
mengutamakan,mengutama,ama
kebersamaan,kebersama,ama
kesederhanaan,sederhana,ana
solidaritas,solidaritas,ari
lingkaran,lingkar,ingkar
makan,makan,akan
perbedaan,perbeda,beda
individu,individu,idu
orang,orang,orang
berbagi,berbag,berbag
hidangan,hidang,dan
bercengkerama,bercengkerama,ama
mempererat,mempererat,emper
hubungan,hubung,bun
kekeluargaan,keluarga,elu
komunitas,komunitas,kom
tradisi,tradisi,adi
makan,makan,akan
mengajarkan,mengajar,aja
nilai,nilai,ilai
nilai,nilai,ilai
menghormati,menghormat,hormat
keadilan,adil,adi
berbagi,berbag,berbag
kebersyukuran,kebersyukur,kur
nikmat,nikmat,mat
diperoleh,diperoleh,oleh
megibung,megibung,bun
aturan,atur,atur
mengambil,mengambil,ambi
makanan,makan,akan
menanamkan,menanam,ana
tanggung,tanggung,anggun
kembul,kembul,kembu
bujana,bujana,ana
mengajarkan,mengajar,aja
kebahagiaan,bahagia,bah
sejati,sejati,ati
kebersamaan,kebersama,ama
kesederhanaan,sederhana,ana
perkembangan,perkembang,ban
zaman,zaman,ama
tradisi,tradisi,adi
megibung,megibung,bun
kembul,kembul,kembu
bujana,bujana,ana
menghadapi,menghadap,ada
tantangan,tantang,anta
perubahan,rubah,bah
gaya,gaya,gaya
hidup,hidup,dup
modern,modern,mode
cenderung,cenderung,cenderung
individualis,individualis,ali
salah,salah,ala
penyebab,penyebab,bab
utama,utama,ama
tergerusnya,tergerus,erg
tradisi,tradisi,adi
masyarakat,masyarakat,ara
generasi,generasi,asi
muda,muda,mu
makan,makan,akan
terpisah,terpisah,isa
porsi,porsi,porsi
nilai,nilai,ilai
kebersamaan,kebersama,ama
diusung,usung,sun
tradisi,tradisi,adi
perlahan,perlahan,lah
memudar,memudar,dar
kekhawatiran,khawatir,ati
aspek,aspek,aspek
kebersihan,bersih,bersih
higienis,higienis,higienis
praktik,praktik,praktik
makan,makan,akan
kerap,kerap,era
alasan,alas,ala
tradisi,tradisi,adi
ditinggalkan,tinggal,tin
nilai,nilai,ilai
nilai,nilai,ilai
terkandung,terkandung,dung
megibung,megibung,bun
kembul,kembul,kembu
bujana,bujana,ana
berharga,berharga,harga
perdebatan,perdebat,debat
metode,metode,metode
penyajiannya,penyaji,aji
wuryan,wury,wury
wuryanati,wuryanat,ana
pemerhati,pemerhat,pemerhat
budaya,budaya,budaya
indonesia,indonesia,don
hilangnya,hilang,hilang
tradisi,tradisi,adi
megibung,megibung,bun
kembul,kembul,kembu
bujana,bujana,ana
kehilangan,hilang,hilang
warisan,waris,ari
budaya,budaya,budaya
filosofi,filosofi,filo
mendalam,mendalam,ala
hidup,hidup,dup
kebersamaan,kebersama,ama
harmoni,harmoni,harmoni
melestarikan,lestari,ari
tradisi,tradisi,adi
megibung,megibung,bun
kembul,kembul,kembu
bujana,bujana,ana
langkah,langkah,angka
menjaga,menjaga,aga
identitas,identitas,den
budaya,budaya,budaya
indonesia,indonesia,don
tradisi,tradisi,adi
simbol,simbol,bol
kekayaan,kaya,kaya
budaya,budaya,budaya
alat,alat,ala
memperkuat,memperkuat,emper
hubungan,hubung,bun
sosial,sosial,sia
komunitas,komunitas,kom
megibung,megibung,bun
kembul,kembul,kembu
bujana,bujana,ana
tradisi,tradisi,adi
makan,makan,akan
simbol,simbol,bol
mendalam,mendalam,ala
makanan,makan,akan
menyatukan,menyatu,menyatu
orang,orang,orang
orang,orang,orang
menciptakan,mencipta,cip
hubungan,hubung,bun
kuat,kuat,kuat
melahirkan,lahir,lah
syukur,syukur,kur
keberkahan,berkah,berkah
hidup,hidup,dup
tergerus,tergerus,erg
tradisi,tradisi,adi
ditemukan,temu,mu
komunitas,komunitas,kom
delanggu,delanggu,delan
jawa,jawa,awa
anak,anak,ana
anak,anak,ana
muda,muda,mu
terkadang,terkadang,ada
melakukannya,laku,aku
kegiatan,giat,giat
syukuran,syukur,kur
tantangan,tantang,anta
modernisasi,modernisasi,asi
aktivitas,aktivitas,aktivitas
sederhana,sederhana,ana
apresiasi,apresiasi,apresiasi
nilai,nilai,ilai
nilai,nilai,ilai
kebersamaan,kebersama,ama
pudar,pudar,dar
mari,mari,ari
lingkaran,lingkar,ingkar
menghidupkan,menghidup,dup
semangat,semangat,emang
megibung,megibung,bun
kembul,kembul,kembu
bujana,bujana,ana
kehidupan,hidup,dup
sehari,sehar,seh
tradisi,tradisi,adi
mengajarkan,mengajar,aja
kebahagiaan,bahagia,bah
sejati,sejati,ati
terletak,terletak,eta
kebersamaan,kebersama,ama
syukur,syukur,kur
orang,orang,orang
webinar,webinar,bin
hut,hut,hut
abkin,abkin,abkin
49,49,49
ii,i,i
pd,pd,pd
abkin,abkin,abkin
jawa,jawa,awa
ii,i,i
08,08,08
februari,februari,ari
2025,2025,2025
membahas,membahas,bah
peran,peran,era
strategis,strategis,rat
bimbingan,bimbing,bimbing
konseling,konseling,eling
penguatan,penguat,gua
karakter,karakter,ara
siswa,siswa,sis
prof,prof,pro
dr,dr,dr
nunuk,nunuk,nun
suryani,suryani,ani
m,m,m
pd,pd,pd
menarik,menarik,ari
dibahas,bahas,bah
materi,materi,mat
beliau,beliau,bel
mengerti,mengert,mengert
tantangan,tantang,anta
dihadapi,hadap,ada
guru,guru,guru
bimbingan,bimbing,bimbing
konseling,konseling,eling
strategi,strategi,rat
menghadapi,menghadap,ada
sistem,sistem,sis
pendidikan,pendidi,pen
indonesia,indonesia,don
bk,bk,bk
memiliki,milik,ili
peran,peran,era
pendidikan,pendidi,pen
karakter,karakter,ara
peserta,serta,serta
didik,didik,didik
layanan,layan,ayan
bk,bk,bk
menjadikan,menjadi,adi
karakter,karakter,ara
siswa,siswa,sis
mengadakan,mengada,ada
kegiatan,giat,giat
berguna,berguna,erg
peserta,serta,serta
didik,didik,didik
mengadakan,mengada,ada
ekstrakurikuler,ekstrakurikuler,aku
kegiatan,giat,giat
konseling,konseling,eling
bimbingan,bimbing,bimbing
memahami,memaham,ham
nilai,nilai,ilai
moral,moral,moral
pendidikan,pendidi,pen
karakter,karakter,ara
salah,salah,ala
fokus,fokus,fokus
utama,utama,ama
sistem,sistem,sis
pendidikan,pendidi,pen
indonesia,indonesia,don
seiring,iring,iri
upaya,upaya,paya
pemerintah,pemerin,meri
menciptakan,mencipta,cip
generasi,generasi,asi
cerdas,cerdas,cerdas
akademis,akademis,adem
memiliki,milik,ili
integritas,integritas,integritas
etika,etika,etik
nilai,nilai,ilai
nilai,nilai,ilai
moral,moral,moral
kuat,kuat,kuat
era,era,era
globalisasi,globalisasi,ali
penuh,penuh,pen
tantangan,tantang,anta
perubahan,rubah,bah
siswa,siswa,sis
memiliki,milik,ili
landasan,landas,anda
karakter,karakter,ara
kokoh,kokoh,koh
menghadapi,menghadap,ada
situasi,situasi,asi
permasalahan,permasalah,ala
kompleks,kompleks,eks
pendidikan,pendidi,pen
karakter,karakter,ara
berfokus,berfokus,fokus
penguasaan,penguasa,asa
pengetahuan,pengetahu,eta
pembentukan,pembentu,pembentu
sikap,sikap,kap
perilaku,perilaku,aku
positif,positif,pos
bimbingan,bimbing,bimbing
konseling,konseling,eling
memiliki,milik,ili
peran,peran,era
layanan,layan,ayan
bimbingan,bimbing,bimbing
konseling,konseling,eling
membantu,membantu,ban
siswa,siswa,sis
mengatasi,mengatas,atas
akademis,akademis,adem
berfungsi,berfungs,berfungs
sarana,sarana,ana
mengembangkan,mengembang,ban
karakter,karakter,ara
proses,proses,es
bimbingan,bimbing,bimbing
siswa,siswa,sis
dibimbing,bimbing,bimbing
memahami,memaham,ham
nilai,nilai,ilai
nilai,nilai,ilai
moral,moral,moral
sosial,sosial,sia
spiritual,spiritual,iri
membentuk,membentuk,bentuk
kepribadian,pribadi,adi
konselor,konselor,elo
berperan,berper,per
pendamping,pendamping,dam
membantu,membantu,ban
siswa,siswa,sis
mengenali,mengenal,gen
potensi,potensi,pot
mengatasi,mengatas,atas
tantangan,tantang,anta
mengembangkan,mengembang,ban
keterampilan,terampil,era
sosial,sosial,sia
berinteraksi,berinteraks,beri
lingkungan,lingkung,kung
webinar,webinar,bin
prof,prof,pro
dr,dr,dr
nunuk,nunuk,nun
suryani,suryani,ani
m,m,m
pd,pd,pd
guru,guru,guru
bk,bk,bk
tercapai,tercapa,apa
pendidikan,pendidi,pen
karakter,karakter,ara
tantangan,tantang,anta
dihadapi,hadap,ada
guru,guru,guru
pemerintah,pemerin,meri
pendidikan,pendidi,pen
indonesia,indonesia,don
menghadapi,menghadap,ada
tantangan,tantang,anta
kompleks,kompleks,eks
beragam,ragam,aga
kualitas,kualitas,ali
pendidikan,pendidi,pen
indonesia,indonesia,don
membanggakan,membangga,angga
skor,skor,kor
2022,2022,2022
angka,angka,angka
368,368,368
99,99,99
tertinggal,tertinggal,erti
477,477,477
63,63,63
salah,salah,ala
tantangan,tantang,anta
utama,utama,ama
rendahnya,rendah,dah
kualitas,kualitas,ali
pendidikan,pendidi,pen
dirasakan,rasa,asa
daerah,daerah,daerah
wilayah,wilayah,ayah
terpencil,terpencil,pen
berdampak,berdampak,dam
ketidakmerataan,ketidakmerata,era
akses,akses,akses
kesempatan,sempat,empat
belajar,belajar,aja
siswa,siswa,sis
disisi,sis,sis
kualitas,kualitas,ali
distribusi,distribusi,bus
guru,guru,guru
terbatas,terbatas,atas
juni,juni,jun
2024,2024,2024
50,50,50
guru,guru,guru
bersertifikat,bersertifikat,erti
pendidikan,pendidi,pen
kekurangan,kurang,kur
679,679,679
guru,guru,guru
2024,2024,2024
kesehatan,sehat,seh
mental,mental,mental
kalangan,kalang,ala
siswa,siswa,sis
perhatian,perhati,ati
data,data,data
siswa,siswa,sis
mengalami,mengalam,ala
psikologis,psikologis,kol
kecemasan,cemas,cema
depresi,depresi,depresi
mempengaruhi,mempengaruh,aru
perkembangan,perkembang,ban
akademis,akademis,adem
sosial,sosial,sia
fenomena,fenomena,enom
bullying,bullying,bullying
sekolah,sekolah,kol
isu,isu,isu
serius,serius,seri
ditangani,tangan,angan
merusak,rusak,rusa
kepercayaan,percaya,per
kesehatan,sehat,seh
mental,mental,mental
siswa,siswa,sis
memperkuat,memperkuat,emper
peran,peran,era
guru,guru,guru
bimbingan,bimbing,bimbing
konseling,konseling,eling
menangani,menangan,angan
isu,isu,isu
isu,isu,isu
menciptakan,mencipta,cip
lingkungan,lingkung,kung
belajar,belajar,aja
aman,aman,ama
mendukung,mendukung,duk
kebijakan,kebija,ebi
pemerintah,pemerin,meri
menanggapi,menanggap,angga
tantangan,tantang,anta
kementerian,menteri,ente
pendidikan,pendidi,pen
dasar,dasar,asa
menengah,menengah,eneng
kemendikdasmen,kemendikdasmen,das
mengeluarkan,mengeluar,elu
kebijakan,kebija,ebi
memperkuat,memperkuat,emper
pendidikan,pendidi,pen
karakter,karakter,ara
indonesia,indonesia,don
salah,salah,ala
langkah,langkah,angka
strategis,strategis,rat
penguatan,penguat,gua
peran,peran,era
guru,guru,guru
bimbingan,bimbing,bimbing
konseling,konseling,eling
mentor,mentor,mentor
pendamping,pendamping,dam
siswa,siswa,sis
kebijakan,kebija,ebi
guru,guru,guru
bimbingan,bimbing,bimbing
konseling,konseling,eling
berfungsi,berfungs,berfungs
pengawas,pengawas,awa
pembimbing,pembimbing,bimbing
aktif,aktif,aktif
membantu,membantu,ban
siswa,siswa,sis
mengatasi,mengatas,atas
hadapi,hadap,ada
lingkungan,lingkung,kung
sekolah,sekolah,kol
diharapkan,harap,ara
berkontribusi,berkontribus,berko
signifikan,signifikan,ikan
pengembangan,pengembang,ban
karakter,karakter,ara
kesejahteraan,sejahtera,eja
siswa,siswa,sis
peran,peran,era
guru,guru,guru
bimbingan,bimbing,bimbing
konseling,konseling,eling
guru,guru,guru
bk,bk,bk
berperan,berper,per
membentuk,membentuk,bentuk
sdm,sdm,sdm
mandiri,mandiri,diri
berkarakter,berkarakter,ara
guru,guru,guru
bk,bk,bk
konseling,konseling,eling
berfokus,berfokus,fokus
nilai,nilai,ilai
nilai,nilai,ilai
disiplin,disiplin,disiplin
tanggung,tanggung,anggun
kerja,kerja,kerja
keras,keras,era
etika,etika,etik
guru,guru,guru
bk,bk,bk
mengembangkan,mengembang,ban
keterampilan,terampil,era
komunikasi,komunikasi,asi
manajemen,manajemen,ana
konflik,konflik,konflik
kerja,kerja,kerja
tim,tim,tim
guru,guru,guru
bk,bk,bk
mendukung,mendukung,duk
kesehatan,sehat,seh
mental,mental,mental
kesehatan,sehat,seh
psikologis,psikologis,kol
siswa,siswa,sis
mendeteksi,mendeteks,eks
permasalahan,permasalah,ala
psikologis,psikologis,kol
pendampingan,pendamping,dam
layanan,layan,ayan
bk,bk,bk
peserta,serta,serta
didik,didik,didik
tenang,tenang,nan
nyaman,nyaman,ama
belajar,belajar,aja
percaya,percaya,per
menghadapi,menghadap,ada
tantangan,tantang,anta
sosial,sosial,sia
akademik,akademik,adem
guru,guru,guru
bk,bk,bk
mengarahkan,mengarah,ara
minat,minat,ina
bakat,bakat,bak
guru,guru,guru
bk,bk,bk
diharapkan,harap,ara
menciptakan,mencipta,cip
sekolah,sekolah,kol
nyaman,nyaman,ama
aman,aman,ama
guru,guru,guru
bk,bk,bk
harapkan,harap,ara
mengurangi,mengurang,rang
perilaku,perilaku,aku
bullying,bullying,bullying
lingkungan,lingkung,kung
sekolah,sekolah,kol
perilaku,perilaku,aku
bullying,bullying,bullying
anak,anak,ana
laki,laki,aki
laki,laki,aki
anak,anak,ana
perempuan,perempuan,empu
pembully,pembully,pembully
guru,guru,guru
bk,bk,bk
diharapkan,harap,ara
mengadakan,mengada,ada
konseling,konseling,eling
bimbingan,bimbing,bimbing
kelompok,kelompok,elo
anak,anak,ana
anak,anak,ana
perundungan,rundung,dung
siswa,siswa,sis
data,data,data
kpai,kpa,kpa
penurunan,penurun,nur
tingkat,tingkat,tin
kekerasan,keras,era
siswa,siswa,sis
disebabkan,sebab,bab
preventif,preventif,preventif
penurunan,penurun,nur
laporan,lapor,apo
data,data,data
simfoni,simfoni,fon
ppa,ppa,ppa
menunjukan,menunju,menu
tren,tren,tren
meningkat,meningkat,meni
disebabkan,sebab,bab
laporan,lapor,apo
meningkat,meningkat,meni
tim,tim,tim
pencegahan,pencegah,cegah
penanganan,penangan,angan
kekerasan,keras,era
ekosistem,ekosistem,ekosistem
satuan,satu,sat
pendidikan,pendidi,pen
satuan,satu,sat
tugas,tugas,gas
4,4,4
februari,februari,ari
2025,2025,2025
93,93,93
99,99,99
406,406,406
617,617,617
satuan,satu,sat
pendidikan,pendidi,pen
indonesia,indonesia,don
membentuk,membentuk,bentuk
tppk,tppk,tppk
kolaborasi,kolaborasi,asi
orang,orang,orang
tua,tua,tua
masyarakat,masyarakat,ara
melibatkan,libat,iba
orang,orang,orang
tua,tua,tua
komunitas,komunitas,kom
guru,guru,guru
bimbingan,bimbing,bimbing
konseling,konseling,eling
menciptakan,mencipta,cip
lingkungan,lingkung,kung
mendukung,mendukung,duk
perkembangan,perkembang,ban
karakter,karakter,ara
siswa,siswa,sis
aman,aman,ama
dihargai,harga,harga
tanggal,tanggal,angga
dipilih,pilih,ili
penghormatan,penghormat,hormat
sastrawan,sastraw,astra
william,william,william
shakespeare,shakespeare,are
miguel,miguel,gue
de,de,de
cervantes,cervantes,ante
wafat,wafat,wafa
berbeda,berbeda,beda
usulnya,usul,usul
tradisi,tradisi,adi
toko,toko,tok
buku,buku,buk
catalonia,catalonia,alon
spanyol,spanyol,pan
1923,1923,1923
menghormati,menghormat,hormat
karya,karya,arya
cervantes,cervantes,ante
diadopsi,diadops,dia
global,global,bal
buku,buku,buk
hak,hak,hak
cipta,cipta,cip
sedunia,dunia,dunia
mendorong,mendorong,dor
budaya,budaya,budaya
membaca,membaca,baca
penerbitan,penerbit,bit
perlindungan,perlindung,dung
hak,hak,hak
cipta,cipta,cip
momen,momen,momen
reflektif,reflektif,reflektif
menakar,menakar,akar
ulang,ulang,lang
manusia,manusia,anu
modern,modern,mode
menjadikan,menjadi,adi
buku,buku,buk
cermin,cermin,cermin
zaman,zaman,ama
jendela,jendela,ela
dunia,dunia,dunia
lanskap,lanskap,kap
digital,digital,digit
hiruk,hiruk,hiruk
pikuk,pikuk,kuk
muncul,muncul,mu
paradoks,paradoks,ara
pengetahuan,pengetahu,eta
diakses,akses,akses
genggaman,genggam,gam
masyarakat,masyarakat,ara
dunia,dunia,dunia
melabuhkan,labuh,abu
keheningan,hening,hening
buku,buku,buk
fisik,fisik,fisi
kebangkitan,bangkit,angkit
buku,buku,buk
fisik,fisik,fisi
era,era,era
digital,digital,digit
amerika,amerika,erik
serikat,serikat,erik
inggris,inggris,inggris
jerman,jerm,jerm
jepang,jepang,jepa
penjualan,penjual,jua
buku,buku,buk
cetak,cetak,cetak
meningkat,meningkat,meni
survei,survei,survei
pew,pew,pew
research,research,es
center,center,ente
2022,2022,2022
65,65,65
pembaca,pembaca,baca
muda,muda,mu
gen,gen,gen
z,z,z
memilih,memilih,ili
buku,buku,buk
fisik,fisik,fisi
alasan,alas,ala
sensorik,sensorik,sen
bau,bau,bau
kertas,kertas,kertas
tekstur,tekstur,eks
halaman,halaman,ala
ketiadaan,tiada,ada
kelelahan,lelah,ela
mata,mata,mat
fenomena,fenomena,enom
teori,teori,teori
embodied,embodied,bodi
cognition,cognition,ion
lakoff,lakoff,lak
johnson,johnson,johnson
1999,1999,1999
pengalaman,pengalam,ala
fisik,fisik,fisi
memengaruhi,memengaruh,aru
pemrosesan,pemroses,es
kognitif,kognitif,kognitif
membaca,membaca,baca
buku,buku,buk
fisik,fisik,fisi
dianggap,anggap,angga
menghadirkan,menghadir,adi
makna,makna,makna
dibandingkan,banding,ban
layar,layar,ayar
digital,digital,digit
cenderung,cenderung,cenderung
dangkal,dangkal,angka
shallow,shallow,hal
reading,reading,adi
derasnya,deras,dera
arus,arus,aru
digitalisasi,digitalisasi,ali
swedia,swedia,dia
mengadopsi,mengadops,dop
kebijakan,kebija,ebi
buku,buku,buk
fisik,fisik,fisi
15,15,15
buku,buku,buk
digital,digital,digit
pendidikan,pendidi,pen
pemerintah,pemerin,meri
swedia,swedia,dia
menemukan,menemu,mu
digitalisasi,digitalisasi,ali
masif,masif,asi
menurunkan,menurun,menu
tingkat,tingkat,tin
literasi,literas,era
pemahaman,pemaham,ham
membaca,membaca,baca
daya,daya,daya
konsentrasi,konsentrasi,asi
siswa,siswa,sis
fenomena,fenomena,enom
didukung,dukung,duk
survei,survei,survei
indonesia,indonesia,don
masyarakat,masyarakat,ara
memilih,memilih,ili
buku,buku,buk
fisik,fisik,fisi
dibandingkan,banding,ban
e,e,e
book,book,book
buku,buku,buk
fisik,fisik,fisi
nilai,nilai,ilai
kenyamanan,nyaman,ama
membaca,membaca,baca
kepuasan,puas,puas
psikologis,psikologis,kol
aspek,aspek,aspek
koleksi,koleksi,eks
dimiliki,milik,ili
